alloy,priority,f_req_x0.01_U0.9,f_req_x0.01_U1.7,f_req_x0.1_U0.9,f_req_x0.1_U1.7
Pd50-La50,0.9815299295021216,201.93216777782243,0.0004014884308899948,2.5622088164380364e-05,7.187517311024363e-10
Pd50-Ce50,0.9735888188599325,178.1803697531675,0.0003542642950592592,2.260835008714718e-05,6.342102430627527e-10
Pd50-Y50,0.9622187894156263,168.4755326656294,0.0003349688065930247,2.137695543510027e-05,5.996671163608701e-10
Pd50-Pr50,0.9612652959430155,179.48236462535922,0.00035685296572038046,2.2773553223289276e-05,6.388445273304477e-10
Pd50-Nd50,0.9598312115872649,176.84201853428343,0.0003516033394682674,2.2438533889448145e-05,6.29446553027719e-10
Pd50-Gd50,0.9553617153177754,168.76263681024042,0.0003355396368564264,2.141338453793483e-05,6.006890268529761e-10
Pd50-Tb50,0.9496896166021062,161.85610905621104,0.00032180784255451825,2.0537052327119448e-05,5.761061244172561e-10
Pd50-Sm50,0.9490423112705955,169.81607050471243,0.00033763410969695753,2.1547049081291727e-05,6.044385893909095e-10
Pd50-Dy50,0.9489313293751316,158.37400558648733,0.00031488460554062077,2.0095226920694264e-05,5.637120223567296e-10
Pd50-Ho50,0.9431224765651002,155.5089183246081,0.00030918814121899554,1.9731691386805075e-05,5.535141105931073e-10
Pd50-Er50,0.9421341158914981,152.1066392943768,0.0003024236138812787,1.929999447475923e-05,5.414041334181837e-10
Pd50-Eu50,0.9329455206668577,292.05405337199755,0.0005806718410134552,3.705717017060523e-05,1.0395290594194317e-09
Pd50-Tm50,0.9318665407198171,148.50673985014052,0.0002952661708887466,1.8843222569826226e-05,5.285907516483885e-10
Pd50-Lu50,0.9303431708345917,144.73673914187424,0.0002877705267550128,1.8364867429137334e-05,5.15171916179316e-10
Pd50-Yb50,0.9229187435816811,234.948630935722,0.0004671328902778975,2.98113698386032e-05,8.362696100553828e-10
Pd50-Sc50,0.921875823016929,116.6948827779409,0.000232016750451351,1.4806786891715889e-05,4.1536051403025953e-10
Pd25-La75,0.9206628218884771,299.84674587465423,0.0005961655383264174,3.8045943066663375e-05,1.0672661519682328e-09
Pd25-Ce75,0.9146429039225765,256.74584249863557,0.0005104708505666225,3.257710093805391e-05,9.13853997508142e-10
Pd75-La25,0.9103015609169154,123.30957163240512,0.0002451683006883908,1.564608923207159e-05,4.389046532190247e-10
Pd75-Ce25,0.9019244003256394,113.9247413997564,0.00022650906077758678,1.4455298531041562e-05,4.055005499993715e-10
Pd25-Pr75,0.9015901098892184,259.09125680842226,0.0005151340833808181,3.287469796228569e-05,9.222021998468913e-10
Pd25-Nd75,0.8993115168236625,254.33716434580847,0.0005056818344195687,3.227147670457736e-05,9.052806156093353e-10
Pd25-Y75,0.8968818404904524,239.3325456992984,0.00047584913929831266,3.0367621236355096e-05,8.518735941060711e-10
Pd75-Y25,0.8964629416310093,110.02433657866406,0.00021875414273412225,1.3960397112894262e-05,3.9161755776484603e-10
Pd25-Gd75,0.8923415281241377,239.84589263072155,0.00047686979319544736,3.0432757071227665e-05,8.53700786869249e-10
Pd75-Pr25,0.8915042235219688,114.44493150201936,0.0002275433205006431,1.45213026591064e-05,4.073521001541501e-10
Pd75-Nd25,0.8908272888559314,113.38928289848151,0.00022544444390227992,1.4387357077834714e-05,4.0359465393060674e-10
Pd25-Sm75,0.8887609736754177,241.730413246515,0.0004806166614301668,3.067187377015092e-05,8.604084970365069e-10
Pd75-Gd25,0.8886775962586492,110.14032507946744,0.00021898475503181257,1.3975114270771293e-05,3.9203040400255924e-10
Pd25-Tb75,0.886655833460355,227.52886570263595,0.00045238065969578715,2.886991568073814e-05,8.09859904438188e-10
