alloy,precious,rare_earth,x_RE,ideal_density_proxy_g_cm3,ideal_Tmix_proxy_K,metal_atom_density_m3,experimental_priority_score,f_active_required_for_1mW_cm3_at_xD1pct_Ue0p9
Pd50-La50,Pd,La,0.5,7.018614026942802,1510.5,3.445803045784978e+28,0.9815299295021216,201.93216777782243
Pd50-Ce50,Pd,Ce,0.5,7.508664914256486,1448.0,3.6682867437879975e+28,0.9735888188599325,178.1803697531675
Pd50-Y50,Pd,Y,0.5,6.117922111697856,1813.5,3.7724612304927074e+28,0.9622187894156263,168.4755326656294
Pd50-Pr50,Pd,Pr,0.5,7.505414822203823,1518.0,3.6549573458324013e+28,0.9612652959430155,179.48236462535922
Pd50-Nd50,Pd,Nd,0.5,7.663163206594586,1562.5,3.6821414890941238e+28,0.9598312115872649,176.84201853428343
Pd50-Gd50,Pd,Gd,0.5,8.25153743486949,1706.5,3.7692509515070662e+28,0.9553617153177754,168.76263681024042
Pd50-Tb50,Pd,Tb,0.5,8.479273949701504,1728.5,3.8488293555713217e+28,0.9496896166021062,161.85610905621104
Pd50-Sm50,Pd,Sm,0.5,8.010951587463994,1586.5,3.7575417151844863e+28,0.9490423112705955,169.81607050471243
Pd50-Dy50,Pd,Dy,0.5,8.687472809756839,1754.0,3.890910613493112e+28,0.9489313293751316,158.37400558648733
Pd50-Ho50,Pd,Ho,0.5,8.846357413465666,1781.0,3.926589980258689e+28,0.9431224765651002,155.5089183246081
Pd50-Er50,Pd,Er,0.5,9.021519560160334,1815.0,3.970261559007364e+28,0.9421341158914981,152.1066392943768
Pd50-Eu50,Pd,Eu,0.5,6.146760678629685,1463.5,2.865243825062007e+28,0.9329455206668577,292.05405337199755
Pd50-Tm50,Pd,Tm,0.5,9.186088262426727,1823.0,4.018094275014532e+28,0.9318665407198171,148.50673985014052
Pd50-Lu50,Pd,Lu,0.5,9.508826945133292,1876.5,4.070088122484228e+28,0.9303431708345917,144.73673914187424
Pd50-Yb50,Pd,Yb,0.5,7.412304838338245,1462.5,3.194528337537936e+28,0.9229187435816811,234.948630935722
Pd50-Sc50,Pd,Sc,0.5,5.696963347571373,1821.0,4.532807734863599e+28,0.921875823016929,116.6948827779409
Pd25-La75,Pd,La,0.75,6.141103512820682,1351.75,2.827766429387184e+28,0.9206628218884771,299.84674587465423
Pd25-Ce75,Pd,Ce,0.75,6.682669535409724,1258.0,3.0559165776813446e+28,0.9146429039225765,256.74584249863557
Pd75-La25,Pd,La,0.25,8.3869842161379,1669.25,4.409555465954904e+28,0.9103015609169154,123.30957163240512
Pd75-Ce25,Pd,Ce,0.25,8.748660964383118,1638.0,4.587585576001575e+28,0.9019244003256394,113.9247413997564
Pd25-Pr75,Pd,Pr,0.75,6.682359061119494,1363.0,3.0420533446413866e+28,0.9015901098892184,259.09125680842226
Pd25-Nd75,Pd,Nd,0.75,6.872010044116214,1429.75,3.0703528758296754e+28,0.8993115168236625,254.33716434580847
Pd25-Y75,Pd,Y,0.75,4.902876003846534,1806.25,3.1651356253171886e+28,0.8968818404904524,239.3325456992984
Pd75-Y25,Pd,Y,0.25,7.909968549484621,1820.75,4.668193236297918e+28,0.8964629416310093,110.02433657866406
Pd25-Gd75,Pd,Gd,0.75,7.588775778114874,1645.75,3.1617466096052234e+28,0.8923415281241377,239.84589263072155
Pd75-Pr25,Pd,Pr,0.25,8.743804593551491,1673.0,4.5771476539265375e+28,0.8915042235219688,114.44493150201936
Pd75-Nd25,Pd,Nd,0.25,8.848057141703734,1695.25,4.598404801693469e+28,0.8908272888559314,113.38928289848151
Pd25-Sm75,Pd,Sm,0.75,7.288892331725127,1465.75,3.1493980703952166e+28,0.8887609736754177,241.730413246515
Pd75-Gd25,Pd,Gd,0.25,9.229563300673867,1767.25,4.6657345575109215e+28,0.8886775962586492,110.14032507946744
Pd25-Tb75,Pd,Tb,0.75,7.859191148187905,1678.75,3.2461976082876962e+28,0.886655833460355,227.52886570263595
