alloy,partner,x_Pd,x_RE,molten_priority,change_percent,sigma_element_change_b_per_atom,sigma_abs_b_per_atom,f_active_req_1mW_xD1pct_U0p9,ideal_Tmix_proxy_K,pareto_front,dominated_by,geometric_balance_score
Pd50-La50,La,0.5,0.5,0.9815299295021216,70.66979162043782,5.6227301,7.956341699999999,201.93216777782243,1510.5,True,,0.847611
Pd25-La75,La,0.25,0.75,0.9206628218884771,85.912774,7.272347,8.464802,299.84674587465423,1351.75,True,,0.701001
Pd75-La25,La,0.75,0.25,0.9103015609169154,53.345557,3.973114,7.447881,123.30957163240512,1669.25,False,Pd50-La50;Pd25-La75,0.411145
Pd50-Y50,Y,0.5,0.5,0.9622187894156263,43.841256738735495,1.8017486000000003,4.1097102,168.4755326656294,1813.5,False,Pd50-La50,0.382827
Pd50-Ce50,Ce,0.5,0.5,0.9735888188599325,38.98830242489581,1.4748566,3.7828182000000004,178.1803697531675,1448.0,False,Pd50-La50,0.33097
Pd75-Ce25,Ce,0.75,0.25,0.9019244003256394,35.425007,1.899177,5.361119,113.9247413997564,1638.0,False,Pd50-La50;Pd25-La75;Pd75-La25,0.208531
Pd75-Y25,Y,0.75,0.25,0.8964629416310093,37.335479,2.062623,5.524565,110.02433657866406,1820.75,False,Pd50-La50;Pd25-La75;Pd75-La25,0.187144
Pd25-Y75,Y,0.25,0.75,0.8968818404904524,57.178373,1.540874,2.694855,239.3325456992984,1806.25,False,Pd50-La50;Pd25-La75,0.179139
Pd25-Ce75,Ce,0.25,0.75,0.9146429039225765,47.653806,1.050536,2.204517,256.74584249863557,1258.0,False,Pd50-La50;Pd25-La75,0.14722
Pd50-Nd50,Nd,0.5,0.5,0.9598312115872649,4.7972391580526095,1.3877336000000002,28.927755200000004,176.84201853428343,1562.5,False,Pd50-La50;Pd50-Ce50;Pd50-Y50,0.146557
Pd75-Nd25,Nd,0.75,0.25,0.8908272888559314,10.347151,1.855615,17.933588,113.38928289848151,1695.25,False,Pd50-La50;Pd25-La75;Pd75-La25;Pd75-Ce25;Pd75-Y25,0.074322
Pd50-Gd50,Gd,0.5,0.5,0.9553617153177754,0.009065220487468113,2.2534786,24858.5084402,168.76263681024042,1706.5,False,Pd50-La50,0.017617
Pd25-Gd75,Gd,0.25,0.75,0.8923415281241377,0.00595,2.218469,37284.29295,239.84589263072155,1645.75,False,Pd50-La50;Pd50-Gd50;Pd25-La75;Pd75-La25,0.00002
Pd25-Nd75,Nd,0.25,0.75,0.8993115168236625,2.304127,0.919852,39.921923,254.33716434580847,1429.75,False,Pd50-La50;Pd50-Ce50;Pd50-Y50;Pd50-Nd50;Pd25-La75;Pd25-Ce75;Pd75-La25;Pd75-Ce25,0.000015
Pd75-Gd25,Gd,0.75,0.25,0.8886775962586492,0.018407,2.288488,12432.72393,110.14032507946744,1767.25,False,Pd50-La50;Pd25-La75;Pd75-La25,0.000003
