chain,scenario,time_h,parent_fraction,intermediate_fraction,daughter_fraction,daughter_fraction_per_natural_element_atom
La_to_Ce,solid_reference,0,1.0,0.0,0.0,0.0
La_to_Ce,solid_reference,6,0.9999998071120186,1.8326517145752766e-07,9.622809907547577e-09,9.614149378630784e-09
La_to_Ce,solid_reference,12,0.9999996142240745,3.4855406864020743e-07,3.7221856897471716e-08,3.7188357226263994e-08
La_to_Ce,solid_reference,24,0.9999992284482977,6.320831595729345e-07,1.3946854273253847e-07,1.3934302104407917e-07
La_to_Ce,solid_reference,48,0.9999984568971906,1.0503265273186613e-06,4.927762821017211e-07,4.923327834478295e-07
La_to_Ce,solid_reference,72,0.9999976853466788,1.327073989622973e-06,9.875793316107332e-07,9.866905102122835e-07
La_to_Ce,solid_reference,168,0.9999945991505846,1.7645910282127828e-06,3.6362583871473377e-06,3.6329857545989052e-06
La_to_Ce,solid_reference,336,0.9999891983303385,1.862582725131429e-06,8.93908693636622e-06,8.93104175812349e-06
La_to_Ce,solid_reference,720,0.9999768537078796,1.8683147213557592e-06,2.12779773990571e-05,2.1258827219397946e-05
La_to_Ce,solid_reference,1440,0.99995370795151,1.8682792591432479e-06,4.44237692309054e-05,4.438378783859758e-05
La_to_Ce,solid_reference,2880,0.9999074180459736,1.868192772701607e-06,9.07137612536923e-05,9.063211886856397e-05
La_to_Ce,solid_reference,8760,0.9997184231701988,1.8678396611488492e-06,0.0002797089901400845,0.0002794572520489584
La_to_Ce,liquid_standard_same_source,0,1.0,0.0,0.0,0.0
La_to_Ce,liquid_standard_same_source,6,0.9999998147604086,1.75998344972518e-07,9.241246471157513e-09,9.232929349333472e-09
La_to_Ce,liquid_standard_same_source,12,0.9999996295208514,3.347332118422994e-07,3.574593673916019e-08,3.5713765396094946e-08
La_to_Ce,liquid_standard_same_source,24,0.9999992590418401,6.070198198099169e-07,1.3393834012943644e-07,1.3381779562331994e-07
La_to_Ce,liquid_standard_same_source,48,0.9999985180842291,1.0086790344543687e-06,4.732367364190522e-07,4.7281082335627506e-07
La_to_Ce,liquid_standard_same_source,72,0.9999977771271672,1.2744529467348418e-06,9.484198860673612e-07,9.475663081699005e-07
La_to_Ce,liquid_standard_same_source,168,0.9999948133044099,1.6946217562931685e-06,3.4920738338382385e-06,3.488930967387784e-06
La_to_Ce,liquid_standard_same_source,336,0.9999896266357214,1.7887282655447024e-06,8.584636013015025e-06,8.57690984060331e-06
La_to_Ce,liquid_standard_same_source,720,0.9999777714940234,1.7942338546196888e-06,2.043427212193177e-05,2.041588127702203e-05
La_to_Ce,liquid_standard_same_source,1440,0.9999555434821534,1.7942014452484049e-06,4.266231640132105e-05,4.262392031655986e-05
La_to_Ce,liquid_standard_same_source,2880,0.9999110889406888,1.7941216813309649e-06,8.711693762986096e-05,8.703853238599408e-05
La_to_Ce,liquid_standard_same_source,8760,0.9997295867396847,1.793796015341626e-06,0.0002686194642999526,0.00026837770678208266
La_to_Ce,liquid_hypothesis_source_x10,0,1.0,0.0,0.0,0.0
La_to_Ce,liquid_hypothesis_source_x10,6,0.9999981476056296,1.7599819574032414e-06,9.241241304635344e-08,9.232924187461172e-08
La_to_Ce,liquid_hypothesis_source_x10,12,0.9999962952146905,3.347326345996952e-06,3.574589635359354e-07,3.5713725046875307e-07
La_to_Ce,liquid_hypothesis_source_x10,24,0.9999925904431064,6.070176569118921e-06,1.3393803244816454e-06,1.3381748821896118e-06
La_to_Ce,liquid_hypothesis_source_x10,48,0.9999851809411143,1.0086713924302095e-05,4.732344961371269e-06,4.728085850906035e-06
La_to_Ce,liquid_hypothesis_source_x10,72,0.9999777714940234,1.2744376312986303e-05,9.484129663565157e-06,9.475593946867949e-06
La_to_Ce,liquid_hypothesis_source_x10,168,0.9999481342546629,1.6945653656923725e-05,3.4920091680185915e-05,3.488866359767375e-05
La_to_Ce,liquid_hypothesis_source_x10,336,0.9998962711993814,1.7885896427343067e-05,8.584290419125351e-05,8.576564557748138e-05
La_to_Ce,liquid_hypothesis_source_x10,720,0.9997777371737082,1.793903905709517e-05,0.00020432378723469067,0.00020413989582617945
La_to_Ce,liquid_hypothesis_source_x10,1440,0.9995555237481804,1.7935126599496335e-05,0.0004265411252201513,0.00042615723820745314
La_to_Ce,liquid_hypothesis_source_x10,2880,0.9991112450554991,1.792715486196067e-05,0.0008708277896389529,0.0008700440446282778
La_to_Ce,liquid_hypothesis_source_x10,8760,0.997299155575058,1.789464035579295e-05,0.0026829497845862133,0.0026805351297800855
Y_to_Zr,solid_reference,0,1.0,0.0,0.0,0.0
Y_to_Zr,solid_reference,6,0.9999999723520003,2.6769498800706372e-08,8.785008667730669e-10,8.785008667730669e-10
Y_to_Zr,solid_reference,12,0.9999999447040016,5.1856034734569295e-08,3.439963712211164e-09,3.439963712211164e-09
Y_to_Zr,solid_reference,24,0.9999998894080061,9.739678852985199e-08,1.319520536610676e-08,1.319520536610676e-08
Y_to_Zr,solid_reference,48,0.9999997788160244,1.725152094541319e-07,4.866876612533234e-08,4.866876612533234e-08
Y_to_Zr,solid_reference,72,0.9999996682240551,2.3045117435980027e-07,1.0132477057969387e-07,1.0132477057969387e-07
Y_to_Zr,solid_reference,168,0.9999992258562996,3.566778257538422e-07,4.1746587461226115e-07,4.1746587461226115e-07
Y_to_Zr,solid_reference,336,0.9999984517131986,4.1457897257153186e-07,1.1337078288622862e-06,1.1337078288622862e-06
Y_to_Zr,solid_reference,720,0.9999966822455038,4.2562334675899995e-07,2.8921311494869394e-06,2.8921311494869394e-06
Y_to_Zr,solid_reference,1440,0.999993364502015,4.2579776007885844e-07,6.209700224884798e-06,6.209700224884798e-06
Y_to_Zr,solid_reference,2880,0.9999867290480599,4.257950073621074e-07,1.2845156932785384e-05,1.2845156932785384e-05
Y_to_Zr,solid_reference,8760,0.9999596347346993,4.2578347058565894e-07,3.9939481830126834e-05,3.9939481830126834e-05
Y_to_Zr,liquid_standard_same_source,0,1.0,0.0,0.0,0.0
Y_to_Zr,liquid_standard_same_source,6,0.9999999734482984,2.570803514645596e-08,8.436664686846844e-10,8.436664686846844e-10
Y_to_Zr,liquid_standard_same_source,12,0.9999999468965973,4.979984026564707e-08,3.303562409522702e-09,3.303562409522702e-09
Y_to_Zr,liquid_standard_same_source,24,0.9999998937931975,9.353481309673711e-08,1.2671989367022575e-08,1.2671989367022575e-08
Y_to_Zr,liquid_standard_same_source,48,0.9999997875864064,1.6567464036701802e-07,4.67389532362265e-08,4.67389532362265e-08
