chain,parent,intermediate,daughter,scenario,phase_multiplier,reference_flux_n_cm2_s,sigma_b,half_life_h,intermediate_peak_time_days,intermediate_peak_fraction_per_initial_parent,daughter_fraction_at_intermediate_peak
La_to_Ce,139La,140La,140Ce,solid_reference,1.0,1000000000000.0,8.93,40.284,31.941569514004833,1.86831621443027e-06,2.2775961952077667e-05
La_to_Ce,139La,140La,140Ce,liquid_standard_same_source,0.9603480186014252,1000000000000.0,8.93,40.284,32.039542675851614,1.7942353977359883e-06,2.194545219299321e-05
La_to_Ce,139La,140La,140Ce,liquid_hypothesis_source_x10,9.603480186014252,1000000000000.0,8.93,40.284,26.464103720326023,1.7939261914295775e-05,0.00017812952270545597
Y_to_Zr,89Y,90Y,90Zr,solid_reference,1.0,1000000000000.0,1.28,64.05,56.479631893994984,4.257978172113718e-07,5.820378125814084e-06
Y_to_Zr,89Y,90Y,90Zr,liquid_standard_same_source,0.9603480186014252,1000000000000.0,1.28,64.05,56.63540802035439,4.0891418459588954e-07,5.606133634678532e-06
Y_to_Zr,89Y,90Y,90Zr,liquid_hypothesis_source_x10,9.603480186014252,1000000000000.0,1.28,64.05,47.770184598198554,4.0889589831240405e-06,4.6644942281408434e-05
Ce_to_Pr,140Ce,141Ce,141Pr,solid_reference,1.0,1000000000000.0,0.57,780.096,608.6078579692695,2.3093349559398787e-06,2.7662935655804578e-05
Ce_to_Pr,140Ce,141Ce,141Pr,liquid_standard_same_source,0.9603480186014252,1000000000000.0,0.57,780.096,610.5050902434335,2.217767685989702e-06,2.6655787542969035e-05
Ce_to_Pr,140Ce,141Ce,141Pr,liquid_hypothesis_source_x10,9.603480186014252,1000000000000.0,0.57,780.096,502.53893091748745,2.217304657970197e-05,0.000215475599549816
Pd_to_Ag,108Pd,109Pd,109Ag,solid_reference,1.0,1000000000000.0,8.55,13.437,11.576276894688863,5.966803800689756e-07,7.95491032249675e-06
Pd_to_Ag,108Pd,109Pd,109Ag,liquid_standard_same_source,0.9603480186014252,1000000000000.0,8.55,13.437,11.608956979373339,5.730210017576358e-07,7.662667563581325e-06
Pd_to_Ag,108Pd,109Pd,109Ag,liquid_hypothesis_source_x10,9.603480186014252,1000000000000.0,8.55,13.437,9.749141700106854,5.729860901146953e-06,6.343091646914486e-05
