element,A,natural_fraction,sigma_abs_b,element_change_3y,path,capture_weight_b,element_change_weight_b
Pd,102,0.0102,3.4,1,"102Pd(n,g)103Pd -> 103Rh (EC, 16.991 d)",0.03468,0.03468
Pd,104,0.1114,0.6,0,"104Pd(n,g)105Pd (stable Pd)",0.06684,0.0
Pd,105,0.2233,20.0,0,"105Pd(n,g)106Pd (stable Pd)",4.466,0.0
Pd,106,0.2733,0.304,0,"106Pd(n,g)107Pd; beta half-life ~6.5 My, excluded from 3-y horizon",0.0830832,0.0
Pd,108,0.2646,8.55,1,"108Pd(n,g)109Pd -> 109Ag (beta-, 13.437 h)",2.2623300000000004,2.2623300000000004
Pd,110,0.1172,0.226,1,"110Pd(n,g)111Pd -> 111Ag -> 111Cd (minutes-days)",0.0264872,0.0264872
La,138,0.0009,57.0,0,"138La(n,g)139La (stable La; simplified dominant endpoint)",0.0513,0.0
La,139,0.9991,8.93,1,"139La(n,g)140La -> 140Ce (beta-, 40.284 h)",8.921963,8.921963
Ce,136,0.0019,7.3,1,"136Ce(n,g)137Ce -> 137La (EC, hours)",0.01387,0.01387
Ce,138,0.0025,1.1,1,"138Ce(n,g)139Ce -> 139La (EC, 137.64 d)",0.0027500000000000003,0.0027500000000000003
Ce,140,0.8848,0.57,1,"140Ce(n,g)141Ce -> 141Pr (beta-, 32.504 d)",0.504336,0.504336
Ce,142,0.1108,0.95,1,"142Ce(n,g)143Ce -> 143Pr -> 143Nd (beta- chain)",0.10525999999999999,0.10525999999999999
Y,89,1.0,1.28,1,"89Y(n,g)90Y -> 90Zr (beta-, 64.05 h)",1.28,1.28
Nd,142,0.2716,18.7,0,"142Nd(n,g)143Nd (stable Nd)",5.07892,0.0
Nd,143,0.1218,337.0,0,"143Nd(n,g)144Nd (effectively stable Nd)",41.046600000000005,0.0
Nd,144,0.238,3.6,0,"144Nd(n,g)145Nd (stable Nd)",0.8568,0.0
Nd,145,0.0829,42.0,0,"145Nd(n,g)146Nd (stable Nd)",3.4818000000000002,0.0
Nd,146,0.1719,1.4,1,"146Nd(n,g)147Nd -> 147Pm (beta-, 11.12 d)",0.24065999999999999,0.24065999999999999
Nd,148,0.0575,2.5,1,"148Nd(n,g)149Nd -> 149Pm -> 149Sm",0.14375000000000002,0.14375000000000002
Nd,150,0.0563,1.2,1,"150Nd(n,g)151Nd -> 151Pm -> 151Sm",0.06756,0.06756
Gd,152,0.002,735.0,1,"152Gd(n,g)153Gd -> 153Eu (EC, 240.4 d)",1.47,1.47
Gd,154,0.021,85.0,0,"154Gd(n,g)155Gd (stable Gd)",1.7850000000000001,0.0
Gd,155,0.148,61100.0,0,"155Gd(n,g)156Gd (stable Gd)",9042.8,0.0
Gd,156,0.206,1.5,0,"156Gd(n,g)157Gd (stable Gd)",0.309,0.0
Gd,157,0.157,259000.0,0,"157Gd(n,g)158Gd (stable Gd)",40663.0,0.0
Gd,158,0.248,2.2,1,"158Gd(n,g)159Gd -> 159Tb (beta-, 18.479 h)",0.5456000000000001,0.5456000000000001
Gd,160,0.218,0.77,1,"160Gd(n,g)161Gd -> 161Tb (beta-)",0.16786,0.16786
